source,target,weight
Basolateral nucleus of the amygdala posterior part,Parasubiculum layer 2,5
Basolateral nucleus of the amygdala posterior part,Subiculum,5
Basolateral nucleus of the amygdala posterior part,Field CA1,5
Basolateral nucleus of the amygdala posterior part,Field CA3,5
Basolateral nucleus of the amygdala posterior part,Perirhinal area,5
Basomedial nucleus of the amygdala,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Basomedial nucleus of the amygdala anterior part,Lateral hypothalamic area,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterior division anterodorsal area,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterior division anterodorsal area,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterolateral area,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterolateral area,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterior division anteroventral area,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis oval nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis rhomboid nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterior division dorsolateral nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterior division fusiform nucleus,5
Medial Entorhinal Area,Perirhinal cortex Area 35,5
Basomedial nucleus of the amygdala anterior part,Tuberal nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterior division ventral nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterior division ventral nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,5
CA1,Subiculum,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis posterior division principal nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis posterior division interfascicular nucleus,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis posterior division transverse nucleus,5
brodmann area 36,ca1,5tus norvegicus
Basomedial nucleus of the amygdala anterior part,Nucleus accumbens,5
Basomedial nucleus of the amygdala anterior part,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Basomedial nucleus of the amygdala anterior part,Median preoptic nucleus,5
Basomedial nucleus of the amygdala anterior part,Preoptic periventricular nucleus,5
brodmann area 35,brodmann area 35,5tus norvegicus
Basomedial nucleus of the amygdala anterior part,Paraventricular nucleus of the hypothalamus  parvicellular division  anterior parvicellular part,5
Basomedial nucleus of the amygdala anterior part,Anterior amygdaloid area,5
Basomedial nucleus of the amygdala anterior part,Central nucleus of amygdala medial part,5
brodmann area 35,brodmann area 36,5tus norvegicus
Basomedial nucleus of the amygdala anterior part,Central nucleus of amygdala lateral part,5
Basomedial nucleus of the amygdala anterior part,Central nucleus of amygdala capsular part,5
Basomedial nucleus of the amygdala anterior part,Medial nucleus of the amygdala anterodorsal part,5
Basomedial nucleus of the amygdala anterior part,Medial nucleus of the amygdala anteroventral part,5
Basomedial nucleus of the amygdala anterior part,Medial nucleus of the amygdala posterodorsal part,5
Basomedial nucleus of the amygdala anterior part,Medial nucleus of the amygdala posteroventral part,5
Basomedial nucleus of the amygdala anterior part,Bed nucleus of the accessory olfactory part,5
Basomedial nucleus of the amygdala anterior part,Anterior periventricular nucleus of the hypothalamus,5
Basomedial nucleus of the amygdala anterior part,Intermediate periventricular nucleus of the hypothalamus,5
Basomedial nucleus of the amygdala anterior part,Medial preoptic area,5
Basomedial nucleus of the amygdala anterior part,Medial preoptic nucleus lateral part,5
brodmann area 35,ca1,5tus norvegicus
Medial Entorhinal Area,Dentate gyrus,5
Retrosplenial cortex Area 29a,Retrosplenial cortex Area 29a,5
Basomedial nucleus of the amygdala anterior part,Anterior hypothalamic central part,5
Basomedial nucleus of the amygdala anterior part,Subparaventricular zone,5
Basomedial nucleus of the amygdala anterior part,Retrochiasmatic area,5
Basomedial nucleus of the amygdala anterior part,Ventromedial nucleus of the hypothalamus ventrolateral part,5
brodmann area 35,dentate gyrus,5tus norvegicus
Basomedial nucleus of the amygdala anterior part,Supramammillary nucleus lateral part,5
Basomedial nucleus of the amygdala anterior part,Dorsal premammillary nucleus,5
Basomedial nucleus of the amygdala anterior part,Lateral hypothalamic area,5
Medial Entorhinal Area,Subiculum,5
Lateral Entorhinal Area,Perirhinal cortex Area 35,5
brodmann area 36,ca3,5tus norvegicus
brodmann area 35,ca3,5tus norvegicus
PER,Postrhinal cortex,5
Parasubiculum,Presubiculum,5
Basomedial nucleus of the amygdala anterior part,Subparafascicular nucleus parvicellular part,5
Basomedial nucleus of the amygdala anterior part,Fundus of the striatum,5
Basomedial nucleus of the amygdala anterior part,Olfactory tubercle,5
Medial Entorhinal Area,Cingulate,5
Basomedial nucleus of the amygdala anterior part,Lateral septal nucleus rostral (rostroventral) part medial zone ventral region rostral domain,5
Basomedial nucleus of the amygdala anterior part,Substantia innominata,5
brodmann area 35,lateral entorhinal area,5tus norvegicus
Basomedial nucleus of the amygdala anterior part,Entorhinal area  lateral part layers 1-6,5
brodmann area 35,medial entorhinal area,5tus norvegicus
brodmann area 35,parasubiculum,5tus norvegicus
Lateral Entorhinal Area,Dentate gyrus,5
CA3,CA1,5
Retrosplenial cortex Area 29c,Presubiculum,5
PER,Lateral Entorhinal Area,5
Dentate gyrus,EC,5
CA1,Cingulate,5
nucleus pulvinaris lateralis thalami,dorsomedial visual area,2
brodmann area 35,postrhinal cortex,5tus norvegicus
Postrhinal cortex,Medial Entorhinal Area,5
Subiculum,Presubiculum,5
Postrhinal cortex,Postrhinal cortex,5
Retrosplenial cortex Area 30,Cingulate,5
brodmann area 35,subiculum,5tus norvegicus
Presubiculum,PER,5
inferotemporal area te,cortical area 46,2
Basomedial nucleus of the amygdala anterior part,Mediodorsal nucleus of the thalamus medial part,5
brodmann area 36,brodmann area 35,5tus norvegicus
Basomedial nucleus of the amygdala anterior part,Postpiriform transition area,5
Basomedial nucleus of the amygdala anterior part,Piriform-amygdaloid area,5
Basomedial nucleus of the amygdala anterior part,Nucleus of the lateral olfactory tract dorsal cap,5
Basomedial nucleus of the amygdala anterior part,Cortical nucleus of the amygdala anterior part,5
Basomedial nucleus of the amygdala anterior part,Cortical nucleus of the amygdala posterior part lateral zone,5
Basomedial nucleus of the amygdala anterior part,Cortical nucleus of the amygdala posterior part medial zone,5
Basomedial nucleus of the amygdala anterior part,Agranular insular area dorsal part,5
Basomedial nucleus of the amygdala anterior part,Agranular insular area ventral part,5
Basomedial nucleus of the amygdala anterior part,Agranular insular area posterior part,5
Basomedial nucleus of the amygdala anterior part,Subiculum ventral part,5
Presubiculum,CA3,5
Basomedial nucleus of the amygdala anterior part,Field CA1,5
Presubiculum,Retrosplenial cortex Area 29c,5
Basomedial nucleus of the amygdala anterior part,Paraventricular nucleus of the thalamus,5
Retrosplenial cortex Area 29c,Retrosplenial cortex Area 29c,5
Basomedial nucleus of the amygdala anterior part,Parataenial nucleus,5
Basomedial nucleus of the amygdala posterior part,Lateral septal nucleus rostral (rostroventral) part,5
brodmann area 35,presubiculum,5tus norvegicus
Basomedial nucleus of the amygdala anterior part,Infralimbic area,5
Basomedial nucleus of the amygdala anterior part,Nucleus reuniens,5
Basomedial nucleus of the amygdala anterior part,Lateral nucleus of the amygdala,5
Basomedial nucleus of the amygdala anterior part,Basolateral nucleus of the amygdala posterior part,5
Basomedial nucleus of the amygdala anterior part,Basomedial nucleus of the amygdala posterior part,5
area 6,prefrontal area 47/12,2
area 9,nucleus caudatus; genu  medial  dorsal,2
area 6,cortical area 9/46v,2
CA3,Dentate gyrus,5
CA1,Presubiculum,5
Basomedial nucleus of the amygdala anterior part,Central medial nucleus of the thalamus,5
Nucleus reuniens rostral division dorsal part,Anterior cingulate area ventral part,5
Basomedial nucleus of the amygdala posterior part,Lateral hypothalamic area,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis anterior division anterodorsal area,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis anterolateral area,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis anterior division anteroventral area,5
CA1,Subiculum,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis rhomboid nucleus,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,5
Lateral Entorhinal Area,Retrosplenial cortex Area 30,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis anterior division dorsolateral nucleus,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis anterior division ventral nucleus,5
area 10,putamen; rostral  medial  central,2
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,5
Nucleus reuniens rostral division dorsal part,Field CA1,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis posterior division transverse nucleus,5
Presubiculum,Parasubiculum,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis posterior division transverse nucleus,5
Basomedial nucleus of the amygdala posterior part,Caudoputamen,5
Basomedial nucleus of the amygdala posterior part,Nucleus accumbens,5
Basomedial nucleus of the amygdala posterior part,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Nucleus reuniens rostral division dorsal part,Subiculum ventral part,5
Basomedial nucleus of the amygdala posterior part,Anterior amygdaloid area,5
Basomedial nucleus of the amygdala posterior part,Central nucleus of amygdala medial part,5
Basomedial nucleus of the amygdala posterior part,Central nucleus of amygdala capsular part,5
Basomedial nucleus of the amygdala posterior part,Medial nucleus of the amygdala,5
Basomedial nucleus of the amygdala posterior part,Medial nucleus of the amygdala anterodorsal part,5
brodmann area 36,brodmann area 36,5tus norvegicus
Basomedial nucleus of the amygdala posterior part,Anterior hypothalamic nucleus,5
Basomedial nucleus of the amygdala posterior part,Subparaventricular zone,5
Basomedial nucleus of the amygdala posterior part,Retrochiasmatic area,5
Basomedial nucleus of the amygdala posterior part,Ventromedial nucleus of the hypothalamus anterior part,5
Basomedial nucleus of the amygdala posterior part,Ventromedial nucleus of the hypothalamus dorsomedial part,5
Basomedial nucleus of the amygdala posterior part,Ventromedial nucleus of the hypothalamus central part,5
Basomedial nucleus of the amygdala posterior part,Ventromedial nucleus of the hypothalamus ventrolateral part,5
Basomedial nucleus of the amygdala posterior part,Supramammillary nucleus lateral part,5
Basomedial nucleus of the amygdala posterior part,Dorsal premammillary nucleus,5
Basomedial nucleus of the amygdala posterior part,Medial mammillary nucleus,5
Basomedial nucleus of the amygdala posterior part,Medial mammillary nucleus,5
Basomedial nucleus of the amygdala posterior part,Posterior hypothalamic nucleus,5
Basomedial nucleus of the amygdala posterior part,Lateral hypothalamic area,5
Basomedial nucleus of the amygdala posterior part,Tuberal nucleus,5
Basomedial nucleus of the amygdala posterior part,Fundus of the striatum,5
Basomedial nucleus of the amygdala posterior part,Olfactory tubercle,5
Basomedial nucleus of the amygdala posterior part,Lateral septal nucleus rostral (rostroventral) part ventrolateral zone dorsal region lateral domain,5
area 10,putamen; rostral  medial  ventral,2
Basomedial nucleus of the amygdala posterior part,Lateral septal nucleus rostral (rostroventral) part ventrolateral zone ventral region,5
Basomedial nucleus of the amygdala posterior part,Substantia innominata,5
Basomedial nucleus of the amygdala posterior part,Entorhinal area  lateral part,5
Posterior nucleus of the amygdala,Medial preoptic nucleus medial part,5
Basomedial nucleus of the amygdala posterior part,Entorhinal area  lateral part layers 1-6,5
brodmann area 36,dentate gyrus,5tus norvegicus
Basomedial nucleus of the amygdala posterior part,Entorhinal area medial part  dorsal zone,5
brodmann area 36,lateral entorhinal area,5tus norvegicus
Basomedial nucleus of the amygdala posterior part,Entorhinal area medial part  dorsal zone layers 1-6,5
brodmann area 36,medial entorhinal area,5tus norvegicus
Basomedial nucleus of the amygdala posterior part,Entorhinal area medial part  ventral zone,5
Medial Entorhinal Area,CA3,5
Medial Entorhinal Area,CA3,5
nucleus pulvinaris inferior thalami,nucleus geniculatus lateralis dorsalis thalami,2
Retrosplenial cortex Area 29a,Retrosplenial cortex Area 30,5
CA3,Presubiculum,5
brodmann area 36,parasubiculum,5tus norvegicus
brodmann area 36,postrhinal cortex,5tus norvegicus
Posterior nucleus of the amygdala,Nucleus accumbens,5
brodmann area 36,presubiculum,5tus norvegicus
Presubiculum,Presubiculum,5
Presubiculum,Retrosplenial cortex Area 29c,5
Presubiculum,Subiculum,5
Presubiculum,Retrosplenial cortex Area 30,5
Basomedial nucleus of the amygdala posterior part,Primary auditory area,5
Basomedial nucleus of the amygdala posterior part,Dorsal auditory areas,5
Basomedial nucleus of the amygdala posterior part,Ventral auditory areas,5
Medial Entorhinal Area,CA1,5
Basomedial nucleus of the amygdala posterior part,Anterior olfactory nucleus posteroventral part,5
Basomedial nucleus of the amygdala posterior part,Visceral area,5
brodmann area 36,subiculum,5tus norvegicus
Basomedial nucleus of the amygdala posterior part,Piriform area,5
Basomedial nucleus of the amygdala posterior part,Mediodorsal nucleus of the thalamus medial part,5
Basomedial nucleus of the amygdala posterior part,Postpiriform transition area,5
Posterior nucleus of the amygdala,Medial preoptic nucleus central part,5
Basomedial nucleus of the amygdala posterior part,Piriform-amygdaloid area,5
Basomedial nucleus of the amygdala posterior part,Nucleus of the lateral olfactory tract dorsal cap,5
Basomedial nucleus of the amygdala posterior part,Cortical nucleus of the amygdala posterior part lateral zone,5
Nucleus reuniens rostral division dorsal part,Prelimbic area,5
temporal area tf,temporopolar area tg,2
Basomedial nucleus of the amygdala posterior part,Cortical nucleus of the amygdala posterior part medial zone,5
Basomedial nucleus of the amygdala posterior part,Somatosensory areas,5
CA3,CA1,5
Perirhinal cortex Area 36,Retrosplenial cortex Area 29c,5
Cingulate,HPC,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 29c,5
EC,Subiculum,5
CA1,Medial Entorhinal Area,5
Basomedial nucleus of the amygdala posterior part,Agranular insular area dorsal part,5
Basomedial nucleus of the amygdala posterior part,Agranular insular area ventral part,5
Basomedial nucleus of the amygdala posterior part,Agranular insular area posterior part,5
Basomedial nucleus of the amygdala posterior part,Ectorhinal area,5
Basomedial nucleus of the amygdala posterior part,Parasubiculum layer 1,5
Basomedial nucleus of the amygdala posterior part,Parasubiculum layer 2,5
Basomedial nucleus of the amygdala posterior part,Parasubiculum layer 2,5
Basomedial nucleus of the amygdala posterior part,Subiculum,5
Basomedial nucleus of the amygdala posterior part,Subiculum ventral part,5
Lateral Entorhinal Area,Perirhinal cortex Area 36,5
Basomedial nucleus of the amygdala posterior part,Field CA1,5
Basomedial nucleus of the amygdala posterior part,Field CA1,5
CA1,EC,5
Basomedial nucleus of the amygdala posterior part,Field CA3,5
Basomedial nucleus of the amygdala posterior part,Field CA3,5
Basomedial nucleus of the amygdala posterior part,Paraventricular nucleus of the thalamus,5
Postrhinal cortex,Presubiculum,5
CA3,CA3,5
Basomedial nucleus of the amygdala posterior part,Infralimbic area,5
Basomedial nucleus of the amygdala posterior part,Perirhinal area,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 29c,5
Basomedial nucleus of the amygdala posterior part,Posterior parietal association areas,5
Basomedial nucleus of the amygdala posterior part,Prelimbic area,5
Posterior nucleus of the amygdala,Posterodorsal preoptic nucleus,5
Retrosplenial cortex Area 29c,Presubiculum,5
Basomedial nucleus of the amygdala posterior part,Ventral temporal association areas,5
Medial Entorhinal Area,Presubiculum,5
Basomedial nucleus of the amygdala posterior part,Lateral nucleus of the amygdala,5
Basomedial nucleus of the amygdala posterior part,Basolateral nucleus of the amygdala posterior part,5
Basomedial nucleus of the amygdala posterior part,Basomedial nucleus of the amygdala anterior part,5
Postrhinal cortex,Retrosplenial cortex Area 29c,5
Posterior nucleus of the amygdala,Bed nuclei of the stria terminalis anterior division anterodorsal area,5
Posterior nucleus of the amygdala,Bed nuclei of the stria terminalis anterior division anteroventral area,5
Posterior nucleus of the amygdala,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,5
Posterior nucleus of the amygdala,Bed nuclei of the stria terminalis posterior division principal nucleus,5
Posterior nucleus of the amygdala,Bed nuclei of the stria terminalis posterior division dorsal nucleus,5
Retrosplenial cortex Area 30,Subiculum,5
Posterior nucleus of the amygdala,Anteroventral periventricular nucleus,5
Posterior nucleus of the amygdala,Medial nucleus of the amygdala posterodorsal part,5
Posterior nucleus of the amygdala,Central nucleus of amygdala,5
Posterior nucleus of the amygdala,Medial nucleus of the amygdala anterodorsal part,5
Posterior nucleus of the amygdala,Dorsomedial nucleus of the hypothalamus,5
Subiculum,Subiculum,5
Lateral Entorhinal Area,Cingulate,5
Posterior nucleus of the amygdala,Posterior periventricular nucleus of the hypothalamus,5
Posterior nucleus of the amygdala,Medial preoptic area,5
Posterior nucleus of the amygdala,Medial preoptic nucleus,5
Posterior nucleus of the amygdala,Medial preoptic nucleus lateral part,5
Posterior nucleus of the amygdala,Medial preoptic nucleus lateral part,5
Posterior nucleus of the amygdala,Anterior hypothalamic nucleus,5
Retrosplenial cortex Area 29b,Retrosplenial cortex Area 29b,5
Medial Entorhinal Area,Parasubiculum,5
Posterior nucleus of the amygdala,Ventromedial nucleus of the hypothalamus dorsomedial part,5
Posterior nucleus of the amygdala,Ventromedial nucleus of the hypothalamus dorsomedial part,5
Posterior nucleus of the amygdala,Ventromedial nucleus of the hypothalamus ventrolateral part,5
Posterior nucleus of the amygdala,Ventral premammillary nucleus,5
Posterior nucleus of the amygdala,Tuberomammillary nucleus,5
Presubiculum,Subiculum,5
Posterior nucleus of the amygdala,Dorsal premammillary nucleus,5
Posterior nucleus of the amygdala,Medial mammillary nucleus,5
Posterior nucleus of the amygdala,Posterior hypothalamic nucleus,5
Posterior nucleus of the amygdala,Tuberal nucleus,5
Posterior nucleus of the amygdala,Olfactory tubercle,5
Posterior nucleus of the amygdala,Lateral septal nucleus ventral part,5
Lateral Entorhinal Area,Medial Entorhinal Area,5
Posterior nucleus of the amygdala,Substantia innominata,5
Posterior nucleus of the amygdala,Entorhinal area  lateral part,5
Posterior nucleus of the amygdala,Entorhinal area  lateral part layers 1-6,5
Posterior nucleus of the amygdala,Entorhinal area medial part  dorsal zone,5
EC,CA1,5
area 11,nucleus caudatus; head  intermediate  ventral,2
Posterior nucleus of the amygdala,Entorhinal area medial part  ventral zone,5
area 11,nucleus caudatus; head  lateral  ventral,2
Subiculum,Subiculum,5
Posterior nucleus of the amygdala,Periaqueductal gray rostromedial division,5
nucleus pulvinaris inferior thalami,prestriate cortex,2
area 11,putamen; rostral  medial  ventral,2
Perirhinal cortex Area 35,Presubiculum,5
nucleus pulvinaris inferior thalami,nucleus reticularis thalami,2
Medial Entorhinal Area,Lateral Entorhinal Area,5
temporal area th,temporopolar area tg,2
Lateral Entorhinal Area,CA3,5
Posterior nucleus of the amygdala,Mediodorsal nucleus of the thalamus medial part,5
Posterior nucleus of the amygdala,Postpiriform transition area,5
Posterior nucleus of the amygdala,Cortical nucleus of the amygdala posterior part medial zone,5
Presubiculum,Retrosplenial cortex Area 30,5
Posterior nucleus of the amygdala,Field CA3 stratum radiatum,5
Parasubiculum,Retrosplenial cortex Area 29ab unspecified,5
Subiculum,Lateral Entorhinal Area,5
Posterior nucleus of the amygdala,Subiculum,5
Posterior nucleus of the amygdala,Subiculum ventral part,5
Postrhinal cortex,PER,5
Posterior nucleus of the amygdala,Field CA1,5
Posterior nucleus of the amygdala,Field CA1 stratum lacunosum-moleculare,5
Posterior nucleus of the amygdala,Field CA1 pyramidal layer,5
Posterior nucleus of the amygdala,Field CA2 stratum lacunosum-moleculare,5
Presubiculum,Retrosplenial cortex Area 29c,5
Posterior nucleus of the amygdala,Paraventricular nucleus of the thalamus,5
HPC,Retrosplenial cortex Area 30,5
Posterior nucleus of the amygdala,Parataenial nucleus,5
Posterior nucleus of the amygdala,Infralimbic area,5
Posterior nucleus of the amygdala,Perirhinal area,5
Subiculum,Presubiculum,5
Posterior nucleus of the amygdala,Endopiriform nucleus dorsal part,5
Parasubiculum,Subiculum,5
Posterior nucleus of the amygdala,Basolateral nucleus of the amygdala posterior part,5
Posterior nucleus of the amygdala,Basomedial nucleus of the amygdala posterior part,5
Medial Entorhinal Area,Presubiculum,5
Presubiculum,CA1,5
Postrhinal cortex,PER,5
EC,CA3,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 29ab unspecified,5
Lateral Entorhinal Area,Lateral Entorhinal Area,5
Medial Entorhinal Area,Medial Entorhinal Area,5
Medial Entorhinal Area,CA1,5
Postrhinal cortex,Retrosplenial cortex Area 29c,5
CA3,Parasubiculum,5
Retrosplenial cortex Area 29b,Retrosplenial cortex Area 29c,5
Lateral Entorhinal Area,CA1,5
Nucleus reuniens rostral division lateral part,Entorhinal area  lateral part,5
HPC,Lateral Entorhinal Area,5
Postrhinal cortex,CA1,5
Lateral Entorhinal Area,Subiculum,5
Medial Entorhinal Area,RSC,5
CA3,CA3,5
cortical area 4,second somatosensory area of cerebral cortex,2
reticular nucleus of thalamus,anteroventral nucleus of thalamus,2
Presubiculum,Parasubiculum,5
Medial Entorhinal Area,Perirhinal cortex Area 35,5
Dentate gyrus,Dentate gyrus,5
Medial Entorhinal Area,Parasubiculum,5
Medial Entorhinal Area,Dentate gyrus,5
Dentate gyrus,Dentate gyrus,5
Retrosplenial cortex Area 29c,Parasubiculum,5
Parasubiculum,Subiculum,5
Fastigial nucleus,Inferior olivary complex,5
Deep cerebellar nuclei,Superior colliculus,5
Fastigial nucleus,Superior colliculus,5
Interposed nucleus,Superior colliculus,5
Interposed nucleus,Superior colliculus,5
Interposed nucleus,Dorsal accessory olive,5
Interposed nucleus,Medial accessory olive,5
Retrosplenial cortex Area 29c,Retrosplenial cortex Area 29c,5
Dentate nucleus,Superior colliculus,5
Dentate nucleus,Superior colliculus,5
Perirhinal cortex Area 36,PER,5
Nucleus reuniens caudal division dorsal part,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
Dentate nucleus,Principal olive,5
Dentate nucleus,Lateral posterior nucleus of the thalamus,5
Dentate nucleus,Posterior complex of the thalamus,5
Dentate nucleus,Posterior complex of the thalamus,5
Presubiculum,Dentate gyrus,5
Subiculum,CA1,5
Lateral Entorhinal Area,Dentate gyrus,5
CA1,EC,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 29a,5
Pontine gray,Cerebellum,5
Pontine gray,Superior colliculus,5
Pontine gray,Olivary pretectal nucleus,5
Pontine gray,Nucleus of the optic tract,5
Pontine gray,Anterior pretectal nucleus,5
Pontine gray,Medial terminal nucleus of the accessory optic tract,5
Pontine gray,Medial terminal nucleus of the accessory optic tract,5
Pontine gray,Retrosplenial area,5
Pontine gray,Lateral terminal nucleus of the accessory optic tract,5
Pontine gray,Dorsal terminal nucleus of the accessory optic tract,5
Pontine gray,Substantia nigra compact part,5
Pontine gray,Substantia nigra reticular part,5
Pontine gray,Ventral tegmental area,5
Pontine gray,Primary visual area,5
Pontine gray,Primary visual area,5
Pontine gray,Retrosplenial area,5
Pontine gray,Paraflocculus,5
Pontine gray,Flocculus,5
Tegmental reticular nucleus,Paraventricular nucleus of the hypothalamus,5
Tegmental reticular nucleus,Medial preoptic nucleus,5
Tegmental reticular nucleus,Ventral part of the lateral geniculate complex,5
Tegmental reticular nucleus,Olivary pretectal nucleus,5
Tegmental reticular nucleus,Nucleus of the optic tract,5
Tegmental reticular nucleus,Nucleus of the optic tract,5
Tegmental reticular nucleus,Lateral terminal nucleus of the accessory optic tract,5
Tegmental reticular nucleus,Dorsal terminal nucleus of the accessory optic tract,5
Subiculum,Dentate gyrus,5
Tegmental reticular nucleus,Lateral dorsal nucleus of thalamus,5
Tegmental reticular nucleus,Anterior cingulate area,5
Tegmental reticular nucleus,Hippocampal region,5
Tegmental reticular nucleus,Orbital area,5
Tegmental reticular nucleus,Retrosplenial area,5
Tegmental reticular nucleus,Paraflocculus,5
Tegmental reticular nucleus,Flocculus,5
Medial Entorhinal Area,Cingulate,5
Tegmental reticular nucleus,Tegmental reticular nucleus,5
Inferior olivary complex,Superior colliculus,5
Inferior olivary complex,Pretectal region,5
Inferior olivary complex,Olivary pretectal nucleus,5
Inferior olivary complex,Olivary pretectal nucleus,5
Inferior olivary complex,Nucleus of the optic tract,5
Inferior olivary complex,Nucleus of the optic tract,5
Inferior olivary complex,Nucleus of the optic tract,5
Inferior olivary complex,Nucleus of the optic tract,5
Inferior olivary complex,Posterior pretectal nucleus,5
Inferior olivary complex,Posterior pretectal nucleus,5
Inferior olivary complex,Nucleus of the posterior commissure,5
Inferior olivary complex,Anterior pretectal nucleus,5
Inferior olivary complex,Anterior pretectal nucleus,5
Inferior olivary complex,Medial pretectal area,5
Inferior olivary complex,Medial pretectal area,5
Postrhinal cortex,Retrosplenial cortex Area 30,5
Inferior olivary complex,Medial terminal nucleus of the accessory optic tract,5
Inferior olivary complex,Medial terminal nucleus of the accessory optic tract,5
Inferior olivary complex,Medial terminal nucleus of the accessory optic tract,5
Inferior olivary complex,Medial terminal nucleus of the accessory optic tract,5
Inferior olivary complex,Lateral terminal nucleus of the accessory optic tract,5
Inferior olivary complex,Dorsal terminal nucleus of the accessory optic tract,5
Inferior olivary complex,Dorsal terminal nucleus of the accessory optic tract,5
Inferior olivary complex,Visual areas,5
Retrosplenial cortex Area 29ab unspecified,Parasubiculum,5
Subiculum,Retrosplenial cortex Area 29c,5
Medial accessory olive,Superior colliculus,5
Medial accessory olive,Hemispheric regions,5
Medial accessory olive,Simple lobule,5
Medial accessory olive,Ansiform lobule crus 1,5
Medial accessory olive,Ansiform lobule crus 2,5
Medial accessory olive,Paraflocculus,5
Medial accessory olive,Flocculus,5
Medial accessory olive,Flocculus,5
Medial accessory olive,Interposed nucleus,5
Lateral reticular nucleus,Hippocampal region,5
Lateral reticular nucleus,Flocculus,5
Parasubiculum,Retrosplenial cortex Area 29c,5
Lateral reticular nucleus magnocellular part,Kolliker-Fuse subnucleus,5
Dentate gyrus,Dentate gyrus,5
Red nucleus,Spinal Cord,5
Red nucleus,Cerebellum,5
Red nucleus,Anterior pretectal nucleus,5
Lateral Entorhinal Area,CA1,5
Intralaminar nuclei of the dorsal thalamus,Superior colliculus,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 29c,5
Facial nucleus,Superior colliculus,5
Facial nucleus,Flocculus,5
Retrosplenial cortex Area 29c,Lateral Entorhinal Area,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 29ab unspecified,5
nucleus pulvinaris thalami,layer 1 of area 17,2
CA3,Subiculum,5
Perirhinal cortex Area 35,Cingulate,5
CA1,RSC,5
Nucleus ambiguus dorsal division,Kolliker-Fuse subnucleus,5
Nucleus ambiguus dorsal division,Flocculus,5
Rhomboid nucleus,Retrosplenial area,5
Rhomboid nucleus,Primary motor area,5
Rhomboid nucleus,Secondary motor area,5
Rhomboid nucleus,Auditory areas,5
Rhomboid nucleus,Primary somatosensory area,5
Rhomboid nucleus,Supplemental somatosensory area,5
Rhomboid nucleus,Visual areas,5
Rhomboid nucleus,Anterior cingulate area,5
Rhomboid nucleus,Subiculum dorsal part,5
Rhomboid nucleus,Field CA1,5
Rhomboid nucleus,Infralimbic area,5
Rhomboid nucleus,Orbital area,5
Rhomboid nucleus,Prelimbic area,5
Medial Entorhinal Area,Parasubiculum,5
anteroventral nucleus of thalamus,reticular nucleus of thalamus,2
RSC,CA1,5
PER,Subiculum,5
Central medial nucleus of the thalamus,Bed nuclei of the stria terminalis  anterior division  subcommisural zone,5
