source,target,weight
Medial Entorhinal Area,Presubiculum,5
Perirhinal cortex Area 36,Retrosplenial cortex Area 30,5
Presubiculum,Presubiculum,5
32,Ia,2
RSC,Dentate gyrus,5
Perirhinal cortex Area 36,Subiculum,5
nucleus ventralis posterior inferior thalami,subarea of ventral premotor cortex,2
Perirhinal cortex Area 36,Medial Entorhinal Area,5
11,perirhinal cortex,2
Perirhinal cortex Area 36,Presubiculum,5
CA3,Medial Entorhinal Area,5
Retrosplenial cortex Area 30,Retrosplenial cortex Area 29c,5
Postrhinal cortex,Perirhinal cortex Area 36,5
TF/TH,25,2
Perirhinal cortex Area 35,Parasubiculum,5
Presubiculum,EC,5
CA1,Medial Entorhinal Area,5
CA1,Dentate gyrus,5
lateral nucleus  amygdala,area 12,2
Presubiculum,EC,5
TF/TH,11,2
EC,CA1,5
Retrosplenial cortex Area 29c,Retrosplenial cortex Area 29ab unspecified,5
lateral nucleus  amygdala,area 35,2
Retrosplenial cortex Area 29c,Presubiculum,5
Postrhinal cortex,Parasubiculum,5
Postrhinal cortex,CA3,5
Retrosplenial cortex Area 30,Medial Entorhinal Area,5
Medial Entorhinal Area,CA3,5
Presubiculum,Subiculum,5
CA1,CA1,5
field l,lateral subdivision of the caudal region of mesopallium,Taeniopygia guttata
field l,hvc,Taeniopygia guttata
field l,mesopallium,Taeniopygia guttata
field l,dorsocaudal nidopallium,Taeniopygia guttata
field l,caudal medial nidopallium,Taeniopygia guttata
field l,nucleus interface of the nidopallium,Taeniopygia guttata
field l,shelf,Taeniopygia guttata
cortical nucleus (amygdala),accessory basal nucleus (amygdala),2
,inferotemporal cortex (visual area),2
,posterior inferior temporal cortex,2
cortical nucleus (amygdala),amygdala,2
,visual area 4,2
cortical nucleus (amygdala),lateral nucleus  amygdala,2
primary sensory area pc,agranular frontal area 1 (= primary motor area),2
,inferotemporal cortex (visual area),2
corticoamygdalar transition area,amygdala,2
lateral nucleus  amygdala,accessory basal nucleus (amygdala),2
lateral nucleus  amygdala,area 36,2
lateral nucleus  amygdala,amygdala,2
primary sensory area pc,agranular frontal area 4 (= caudal ventrolateral premotor area),2
lateral basal nucleus of the amygdala,accessory basal nucleus (amygdala),2
parietal operculum,area 6 (ventral part),2
